Status,docType,id,title,description,slug,date,author,image,category,tags,relatedDoc1,relatedDoc2,relatedDoc3,relatedDoc4,relatedDoc5,editor_img,editor_bio,editor_name,editor_social
Pending,Article,0,What is Portflorio?,"Portflorio is a blog template built for Next.js. This is a free template that uses TypeScript and article management using Markdown, while maintaining the speed-up features that are the hallmark of Next.js.",sample,2023-12-31,Shoto Morisaki,sample/sample1.jpg,Other,['Sample Markdown'],,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Project,11,ACM (Association for Computing Machinery) Research Lab,"This project revolves around implementing and understanding the REDCODER model, which is a code generation model. The team aims to evaluate the effectiveness of REDCODER for specific tasks by comparing its performance under different scenarios",ACM_Research_Lab,2024-4-1,Shoto Morisaki,project/6/ACM_logo.png,Research,"['LLM', 'Natural Language', 'LangChain', 'RAG']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Project,10,Software Engineering Internship at Tsubasa,"Internship experience is a significant contributor to my development of engineering skills. Most of the work required me to use the serverless framework, and each time, there was a self-education aspect that I can leverage later in my career.",SWE_Internship,2024-2-27,Shoto Morisaki,project/5/running.jpg,Project,"['AWS', 'Docker', 'Python Flask', 'Material-UI', 'ApexCharts', 'TypeScript', 'React']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Article,15,Takeaway of 8 months Internship as Software Engineer,Wrapping up 8 months of internship at start up software engineering company as a Software Engineer has been an enriching journey. Here's a summary of key takeaways,Takeaway_from_SWE_internship,2024-02-20,Shoto Morisaki,sample/sample7.jpg,Blog,"['Internship', 'Software Engineering']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Project,4,CruzHack 2024 - Sitegeist,"Sitegeist, our technical solution for giving you more problems! We wanted a way to easily analyze trending topics and issues faced by those around us.",CruzHack_Sitegeist,2024-1-16,Shoto Morisaki,project/4/project4-demo.gif,Project,"['RESTfulAPI', 'React', 'Typescript', 'GPTAPI', 'HuggingFaceModel']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Project,12,Machine Learning Internship at LinkX Japan,"Machine Learning Internship at LinkX Japan, working as Backend / Full Stack engineer. applying RAG system to improve LLM application.",ML_internship_LinkX,2024-4-1,Shoto Morisaki,/project/7/writing.jpg,Internship,"['Internship', 'LLM', 'Natural Language', 'RAG']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Project,3,Qiita × Fast DOCTOR Health Tech Hackathon,Medical project to support medical industry with group of University students from California. We had implementation of a visual verification system as a solution. The goal of this approach is to reduce paperwork and streamline processes.,Qiita_FastDoctor,2023-6-14,Shoto Morisaki,project/3/projectQiitaFD1.jpeg,Project,"['FastAPI', 'Flask', 'GPT API']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Article,9,Writing README for team project 101,"When a new member joins a project, writing a README with an overview of the project and links to necessary documents will make it easier to understand the project and reduce unnecessary communication costs.",README_for_team,2024-02-24,Shoto Morisaki,/post/5/sample5.jpg,Blog,"['Coding', 'README']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Article,6,Comprehensive Survey of Hallucination Mitigation Techniques in Large Language Models,A comprehensive survey of techniques developed to reduce hallucinations in LLMs,Hallucination_Mitigation_Technique_RAG,2024-02-11,Shoto Morisaki,sample/sample4.jpg,Research,"['Large Language Models', 'Hallucination Mitigation', 'Techniques', 'Survey']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Draft,Article,14,5 things you shouldn't do at hackathon and startup,"When a new member joins a project, writing a README with an overview of the project and links to necessary documents will make it easier to understand the project and reduce unnecessary communication costs.",5_things_hackathon_and_startup,2024-04-8,Shoto Morisaki,/post/5/sample5.jpg,Blog,"['Coding', 'README']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Draft,Article,16,Hackathon / Startup 101,"If you are just starting a project or an enterprise, this article is for you. In this article, we will discuss what to do and what not to do for those of you who have an idea.",Hackathon_Startup 101,2024-04-10,Shoto Morisaki,sample/sample7.jpg,Article,"['Hackathon', 'Startup', 'Idea Matters']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Project,13,LLM Law Hackathon Impressions Exploring New Frontiers in Legal Tech,"Recently, I had the opportunity to participate in the LLM Law Hackathon, an event that brought together legal minds, tech enthusiasts, and innovators to collaborate on creating solutions at the intersection of law and technology. As a participant, I was not only exposed to cutting-edge tools and technologies but also immersed in a vibrant community of like-minded individuals. Here are some of my key impressions from the event.",LLm_Law_Hackathon_Stanford,2024-4-8,Shoto Morisaki,/project/8/opening.png,Hackathon,"['Hackathon', 'LLM', 'Law', 'RAG']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Project,2,Electric Sheep Hackathon (Mobility and Big Data),"Collaborated with Japanese university students to create an AR app with Flutter, sponsored by Toyota. Utilized the Luma API and Google Maps API for 3D models and mapping features.",Electric_Sheep,2023-8-14,Shoto Morisaki,project/2/projectNagoya2.png,Project,"['Flutter', '3DModel', 'GoogleMapAPI', 'LumaAPI']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Article,5,Definition of RAG,"Exploring the RAG Paradigm in LLMs. Technically, RAG uses a variety of innovative approaches that address important questions such as “what to search for,” “when to search for,” and “how to use the information obtained.” It has been strengthened.",Definition_of_RAG,2024-02-3,Shoto Morisaki,sample/sample3.jpg,Research,"['RAG', 'LLM', 'Knowledge Injection', 'Fine-tuning', 'External Data']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Project,1,Symposium Cyberwarfare in Russia and Ukraine,"Recently, I worked on a school project about the cyberwarfare between Russia and Ukraine. I conducted research on what is happening and how much damage has occurred, as well as what types of cyber attacks have been used. For my research, I primarily referenced a cyber report from Microsoft, as well as cybersecurity conferences like DEF CON and BlackHat.",Symposium_Cyberwarfare,2023-4-21,Shoto Morisaki,project/1/projectSymposium1.jpeg,Project,"['Research', 'Cybersecurity']",,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Draft,Article,8,Commonly Used React HooksGithub accounts,List of commonly used React hooks with brief explanations.,React_Hooks,2024-02-11,Shoto Morisaki,sample/opened-laptop.jpg,Coding,['Git'],,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
Published,Article,7,【Note】Procedures for using different ssh connection settings (config) with multiple Github accounts,"When working with multiple GitHub accounts, it's crucial to configure SSH connection settings properly to ensure seamless authentication. Here are the steps to set up and manage multiple SSH configurations",Different_ssh_settings,2024-02-11,Shoto Morisaki,sample/opened-laptop.jpg,Coding,['Git'],,,,,,https://github.com/shoot649854/IMG_DB/blob/main/profile.webp,Computer Science - University of California Santa Cruz | Intern - LiNK,Shoto Morisaki,"[{'icon': 'fab fa-linkedin', 'url': 'https://www.linkedin.com/in/shoto-morisaki-93b0a71bb/'}, {'icon': 'fab fa-github', 'url': 'https://github.com/shoot649854/'}, {'icon': 'fab fa-portfolio', 'url': 'https://portfolio-shoto.vercel.app/'}]"
